GEO_ID,STATE_FIPS,CNTY_FIPS,TRACT,CENSUSAREA,STCOFIPS,FIPS,STATE_ABBR,STATE_NAME,COUNTY,LOCATION,TOTPOP,E_TOTPOP,M_TOTPOP,HU,E_HU,M_HU,HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDIP,M_NOHSDIP,AGE65,AGE17,SNGPRNT,MINORITY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,GROUPQ,E_P_POV,M_P_POV,E_P_UNEMP,M_P_UNEMP,E_P_PCI,M_P_PCI,E_P_NOHSDIP,M_P_NOHSDIP,P_AGE65,P_AGE17,P_SNGPRNT,P_MINORITY,E_P_LIMENG,M_P_LIMENG,E_P_MUNIT,M_P_MUNIT,E_P_MOBILE,M_P_MOBILE,E_P_CROWD,M_P_CROWD,E_P_NOVEH,M_P_NOVEH,P_GROUPQ,E_PL_POV,E_PL_UNEMP,E_PL_PCI,E_PL_NOHSDIP,S_PL_THEME1,R_PL_THEME1,PL_AGE65,PL_AGE17,PL_SNGPRNT,S_PL_THEME2,R_PL_THEME2,PL_MINORITY,E_PL_LIMENG,S_PL_THEME3,R_PL_THEME3,E_PL_MUNIT,E_PL_MOBILE,E_PL_CROWD,E_PL_NOVEH,PL_GROUPQ,S_PL_THEME4,R_PL_THEME4,S_PL_THEMES,R_PL_THEMES,F_PL_POV,F_PL_UNEMP,F_PL_PCI,F_PL_NOHSDIP,F_PL_THEME1,F_PL_AGE65,F_PL_AGE17,F_PL_SNGPRNT,F_PL_THEME2,F_PL_MINORITY,F_PL_LIMENG,F_PL_THEME3,F_PL_MUNIT,F_PL_MOBILE,F_PL_CROWD,F_PL_NOVEH,F_PL_GROUPQ,F_PL_THEME4,F_PL_TOTAL
1400000US26065003301,26,065,003301,0.827,26065,26065003301,MI,Michigan,Ingham County,"Census Tract 33.01, Ingham County, Michigan",3074.0,2977.0,342.0,1391.0,1376.0,54.0,1285.0,812.0,360.0,166.0,352.0,17284.0,2777.0,187.0,337.0,261.0,826.0,210.0,1450.0,229.0,387.0,248.0,96.0,0.0,109.0,17.0,111.0,174.0,132.0,12.0,0.272757,0.116796,0.118656,0.250844,17284.0,2777.0,0.105829,0.19045942,0.084905,0.268705,0.16342412,0.471698,0.016943,0.133846,0.180232,0.06940798,0.0,0.07921512,0.013911,0.09082826,0.142389,0.10745096,0.003903,0.819,0.57,0.7912,0.482,2.6622,0.7132,0.153,0.785,0.781,1.719,0.688,0.806,0.774,1.58,0.897,0.8584,0.0,0.5949,0.8309,0.5855,2.8697,0.7408,8.8309,0.8229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US26065003602,26,065,003602,0.71,26065,26065003602,MI,Michigan,Ingham County,"Census Tract 36.02, Ingham County, Michigan",3488.0,3272.0,323.0,1453.0,1473.0,49.0,1321.0,730.0,275.0,222.0,340.0,17251.0,2209.0,333.0,266.0,302.0,1103.0,328.0,2135.0,101.0,399.0,96.0,55.0,0.0,109.0,48.0,116.0,124.0,73.0,36.0,0.223105,0.081109,0.155789,0.23661,17251.0,2209.0,0.15933,0.12641051,0.086582,0.316227,0.24829674,0.612098,0.008646,0.208034,0.065173,0.03727577,0.0,0.07399864,0.03609,0.08717832,0.093233,0.0544644,0.010321,0.766,0.738,0.7923,0.7317,3.028,0.8025,0.161,0.945,0.905,2.011,0.907,0.842,0.634,1.476,0.839,0.661,0.0,0.8701,0.7096,0.7325,2.9732,0.7808,9.4882,0.8965,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2
1400000US26065004100,26,065,004100,0.341,26065,26065004100,MI,Michigan,Ingham County,"Census Tract 41, Ingham County, Michigan",4781.0,4405.0,1005.0,1479.0,1330.0,126.0,1400.0,2513.0,465.0,122.0,428.0,7843.0,1560.0,10.0,408.0,57.0,39.0,4.0,423.0,22.0,424.0,416.0,121.0,12.0,2.0,49.0,118.0,57.0,118.0,917.0,0.819367,0.217168,0.050082,0.175387,7843.0,1560.0,0.031948,1.30346776,0.011922,0.008157,0.00285714,0.088475,0.046055,0.080581,0.312781,0.08601655,0.009022,0.00123724,0.048853,0.1174108,0.056829,0.11732724,0.1918,0.998,0.082,0.9843,0.0878,2.1521,0.5645,0.009,0.007,0.006,0.022,0.006,0.386,0.925,1.311,0.75,0.9379,0.551,0.9285,0.5561,0.9753,3.9488,0.9851,7.4339,0.6257,1,0,1,0,2,0,0,0,0,0,1,1,1,0,1,0,1,3,6
1400000US26065002902,26,065,002902,1.233,26065,26065002902,MI,Michigan,Ingham County,"Census Tract 29.02, Ingham County, Michigan",3886.0,3642.0,412.0,2179.0,2142.0,110.0,1922.0,1567.0,421.0,187.0,377.0,16161.0,2108.0,7.0,422.0,59.0,376.0,110.0,1883.0,236.0,442.0,1421.0,210.0,9.0,17.0,0.0,154.0,34.0,113.0,0.0,0.430258,0.104849,0.072932,0.146535,16161.0,2108.0,0.004377,0.26391416,0.015182,0.096757,0.05723204,0.484559,0.0,0.280746,0.663398,0.09192962,0.004201,0.00793358,0.0,0.08730159,0.019274,0.06403202,0.0,0.94,0.222,0.8298,0.0219,2.0137,0.523,0.01,0.022,0.154,0.186,0.015,0.812,0.0,0.812,0.38,0.9898,0.4693,0.0,0.2065,0.0,1.6656,0.2475,4.6773,0.1822,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
1400000US26065003103,26,065,003103,2.124,26065,26065003103,MI,Michigan,Ingham County,"Census Tract 31.03, Ingham County, Michigan",5786.0,6181.0,380.0,2964.0,3086.0,102.0,2759.0,741.0,308.0,263.0,368.0,27352.0,1831.0,192.0,278.0,886.0,1024.0,196.0,1445.0,81.0,382.0,433.0,158.0,0.0,109.0,22.0,111.0,93.0,49.0,6.0,0.119883,0.049282,0.070966,0.099048,27352.0,1831.0,0.045867,0.06637159,0.153128,0.176978,0.07104023,0.24974,0.003517,0.134953,0.140311,0.05098849,0.0,0.0353208,0.007615,0.03841985,0.032191,0.01689002,0.001036,0.511,0.206,0.3105,0.1507,1.1782,0.2511,0.638,0.112,0.284,1.034,0.095,0.678,0.434,1.112,0.614,0.8149,0.0,0.4265,0.3546,0.3586,1.9546,0.3481,5.2788,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US26065003200,26,065,003200,1.145,26065,26065003200,MI,Michigan,Ingham County,"Census Tract 32, Ingham County, Michigan",2245.0,2126.0,275.0,914.0,941.0,49.0,845.0,724.0,284.0,172.0,402.0,14964.0,2515.0,170.0,256.0,186.0,660.0,196.0,949.0,17.0,409.0,9.0,155.0,0.0,109.0,13.0,111.0,104.0,130.0,13.0,0.340545,0.126112,0.176049,0.410239,14964.0,2515.0,0.143581,0.21553906,0.08285,0.293986,0.23195266,0.422717,0.027217,0.199574,0.009564,0.16471763,0.0,0.11583422,0.01555,0.13276526,0.124401,0.15496256,0.00579,0.873,0.799,0.8622,0.6673,3.2015,0.8371,0.14,0.9,0.883,1.923,0.839,0.789,0.859,1.648,0.927,0.384,0.0,0.6283,0.8007,0.6534,2.4664,0.5662,9.2389,0.8688,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1400000US26065004490,26,065,004490,0.064,26065,26065004490,MI,Michigan,Ingham County,"Census Tract 44.90, Ingham County, Michigan",3863.0,4614.0,884.0,0.0,10.0,15.0,0.0,23.0,114.0,176.0,459.0,2970.0,237.0,0.0,436.0,0.0,15.0,0.0,762.0,0.0,436.0,0.0,189.0,0.0,109.0,0.0,154.0,0.0,154.0,3863.0,1.0,4.956521,0.127536,0.329357,2970.0,237.0,0.0,11.47368421,0.0,0.003882,0.0,0.197256,0.009279,0.11162,0.0,18.9,0.0,10.9,0.0,15.4,0.0,15.4,1.0,1.0,0.619,0.9985,0.0,2.6175,0.6983,0.0,0.004,0.0,0.004,0.002,0.618,0.651,1.269,0.72,0.0,0.0,0.0,0.0,0.9978,0.9978,0.0962,4.8883,0.2117,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3
1400000US26065004493,26,065,004493,0.084,26065,26065004493,MI,Michigan,Ingham County,"Census Tract 44.93, Ingham County, Michigan",1564.0,2265.0,417.0,1.0,0.0,109.0,1.0,0.0,154.0,23.0,463.0,4751.0,1112.0,0.0,436.0,0.0,0.0,0.0,751.0,137.0,429.0,0.0,189.0,0.0,109.0,0.0,154.0,0.0,154.0,1563.0,0.0,-999.0,0.024364,0.490349,4751.0,1112.0,0.0,1.83193277,0.0,0.0,0.0,0.480179,0.004643,0.178132,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.99936,0.0,0.016,0.9949,0.0,1.0109,0.1997,0.0,0.0,0.0,0.0,0.0,0.81,0.494,1.304,0.745,0.0,0.0,0.0,0.0,0.9975,0.9975,0.0958,3.3124,0.0353,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1400000US26065004802,26,065,004802,2.525,26065,26065004802,MI,Michigan,Ingham County,"Census Tract 48.02, Ingham County, Michigan",3312.0,3507.0,179.0,1375.0,1361.0,81.0,1326.0,240.0,214.0,134.0,415.0,34100.0,3251.0,94.0,383.0,299.0,802.0,97.0,354.0,9.0,422.0,167.0,144.0,0.0,109.0,0.0,154.0,12.0,111.0,0.0,0.068434,0.06092,0.064454,0.199395,34100.0,3251.0,0.040274,0.16408202,0.090277,0.242149,0.07315233,0.106884,0.060485,0.189076,0.122703,0.10555224,0.0,0.08008817,0.0,0.11315209,0.008817,0.08155599,0.0,0.278,0.16,0.1334,0.1237,0.6951,0.1093,0.177,0.565,0.306,1.048,0.1,0.447,0.95,1.397,0.796,0.7902,0.0,0.0,0.0973,0.0,0.8875,0.0748,4.0276,0.0904,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1400000US26065005100,26,065,005100,1.977,26065,26065005100,MI,Michigan,Ingham County,"Census Tract 51, Ingham County, Michigan",3403.0,3885.0,402.0,1316.0,1312.0,89.0,1205.0,1225.0,482.0,233.0,360.0,14933.0,1734.0,434.0,167.0,255.0,1076.0,321.0,1984.0,197.0,375.0,0.0,189.0,0.0,109.0,39.0,116.0,115.0,81.0,19.0,0.316292,0.120087,0.129877,0.199763,14933.0,1734.0,0.208253,0.07785258,0.074933,0.316191,0.26639004,0.583014,0.01077,0.113226,0.0,0.14405488,0.0,0.08307927,0.030636,0.09109404,0.090337,0.06326348,0.005583,0.852,0.63,0.8633,0.8601,3.2054,0.8386,0.103,0.944,0.934,1.981,0.88,0.836,0.684,1.52,0.867,0.0,0.0,0.8305,0.7027,0.6483,2.1815,0.4298,8.8879,0.8327,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2
